time (s),sample(vtime('tran "/out") 9n 640n "linear" 10n ) (V)
9.000E-9,1.399
19.00E-9,404.9E-3
29.00E-9,1.386
39.00E-9,426.4E-3
49.00E-9,1.355
59.00E-9,466.4E-3
69.00E-9,1.306
79.00E-9,522.1E-3
89.00E-9,1.243
99.00E-9,593.4E-3
109.0E-9,1.166
119.0E-9,676.4E-3
129.0E-9,1.078
139.0E-9,768.2E-3
149.0E-9,984.0E-3
159.0E-9,863.9E-3
169.0E-9,886.3E-3
179.0E-9,961.5E-3
189.0E-9,788.7E-3
199.0E-9,1.057
209.0E-9,695.9E-3
219.0E-9,1.147
229.0E-9,610.9E-3
239.0E-9,1.226
249.0E-9,536.7E-3
259.0E-9,1.294
269.0E-9,477.1E-3
279.0E-9,1.346
289.0E-9,433.2E-3
299.0E-9,1.380
309.0E-9,407.8E-3
319.0E-9,1.397
329.0E-9,401.0E-3
339.0E-9,1.394
349.0E-9,412.7E-3
359.0E-9,1.373
369.0E-9,443.9E-3
379.0E-9,1.333
389.0E-9,492.8E-3
399.0E-9,1.277
409.0E-9,556.3E-3
419.0E-9,1.206
429.0E-9,633.4E-3
439.0E-9,1.123
449.0E-9,721.3E-3
459.0E-9,1.031
469.0E-9,815.0E-3
479.0E-9,935.2E-3
489.0E-9,912.7E-3
499.0E-9,837.5E-3
509.0E-9,1.010
519.0E-9,741.8E-3
529.0E-9,1.103
539.0E-9,652.0E-3
549.0E-9,1.188
559.0E-9,572.9E-3
569.0E-9,1.262
579.0E-9,505.5E-3
589.0E-9,1.322
599.0E-9,452.7E-3
609.0E-9,1.366
619.0E-9,418.6E-3
629.0E-9,1.391
639.0E-9,402.0E-3
